db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0478.1	FOSL2	6.60E-13	1.30E-15	-3.43E+01	0	246	490	955	1565	5.02E-01	5.20E-18	2.44E+02	53	8.70E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0482.1	Gata4	6.20E-127	1.20E-129	-2.97E+02	0	82	490	1028	2886	1.67E-01	4.90E-132	2.44E+02	52	1.45E+02	5.50E-06	-1.21E+01		1.00E+00	0
2	MA0483.1	Gfi1b	3.00E-01	5.70E-04	-7.48E+00	0	110	490	778	2988	0.22449	2.30E-06	2.44E+02	38	160	1.00E+00	0.00E+00		1.00E+00	0
2	MA0488.1	JUN	5.50E-06	1.10E-08	-1.84E+01	0	112	488	392	1266	0.22951	4.40E-11	2.43E+02	2.50E+01	79	1.00E+00	0.00E+00		1.00E+00	0
2	MA0489.1	 JUN(var.2)	5.60E-08	1.10E-10	-2.30E+01	0	79	487	393	1712	0.16222	4.40E-13	2.43E+02	2.70E+01	111	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0490.1	JUNB	1.10E-10	2.20E-13	-2.92E+01	0	78	490	303	1221	0.15918	8.90E-16	2.44E+02	17	75	1.00E+00	0.00E+00		1.00E+00	0
2	MA0491.1	JUND	4.70E-11	9.10E-14	-3.00E+01	0	88	490	265	917	1.80E-01	3.70E-16	2.44E+02	17	5.50E+01	9.70E-01	-3.00E-02		1.00E+00	0
2	MA0492.1	JUND(var.2)	3.00E-08	5.70E-11	-2.36E+01	0	264	486	739	1138	5.43E-01	2.40E-13	2.42E+02	31	6.90E+01	1.00E+00	0.00E+00		1.70E-01	-1.77
2	MA0493.1	Klf1	5.00E-13	9.50E-16	-3.46E+01	0	180	490	1479	3362	3.67E-01	3.90E-18	2.44E+02	76	1.87E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0499.1	Myod1	3.80E-05	7.20E-08	-1.64E+01	0	146	488	874	2442	0.29918	3.00E-10	2.43E+02	5.00E+01	150	1.00E+00	0.00E+00		1.00E+00	0
2	MA0500.1	Myog	3.50E-07	6.70E-10	-2.11E+01	0	182	490	930	2087	3.71E-01	2.80E-12	2.44E+02	59	1.26E+02	9.80E-01	-2.00E-02		1.00E+00	0
2	MA0501.1	MAF::NFE2	4.50E-04	8.60E-07	-1.40E+01	0	124	486	416	1267	2.55E-01	3.60E-09	2.42E+02	26	7.50E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0502.1	NFYB	2.40E-23	4.60E-26	-5.83E+01	0	224	486	821	1343	4.61E-01	1.90E-28	2.42E+02	27	6.30E+01	1.00E+00	0.00E+00		5.30E-01	-0.63
2	MA0506.1	NRF1	9.00E-15	1.70E-17	-3.86E+01	0	230	490	1068	1860	4.69E-01	7.00E-20	2.44E+02	70	1.16E+02	4.60E-01	-7.70E-01		1.00E+00	0
2	MA0509.1	Rfx1	1.20E+00	2.30E-03	-6.08E+00	0	241	487	1249	2315	4.95E-01	9.40E-06	2.43E+02	79	1.35E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0510.2	RFX5	3.70E+00	7.20E-03	-4.94E+00	0	177	485	189	408	3.65E-01	3.00E-05	2.42E+02	8	1.80E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0511.2	RUNX2	7.90E-14	1.50E-16	-3.64E+01	0	294	492	2427	3630	5.98E-01	6.20E-19	2.45E+02	157	2.10E+02	8.80E-04	-7.04E+00		1.00E+00	0
2	MA0513.1	SMAD2::SMAD3::SMAD4	2.10E-04	4.00E-07	-1.47E+01	0	94	488	831	3568	0.19262	1.60E-09	2.43E+02	46	204	1.00E+00	0.00E+00		1.00E+00	0
2	MA0516.1	SP2	5.50E-20	1.00E-22	-5.06E+01	0	180	486	1744	3864	0.37037	4.30E-25	2.42E+02	8.90E+01	232	1.00E+00	0.00E+00		1.00E+00	0
2	MA0521.1	Tcf12	6.20E-08	1.20E-10	-2.29E+01	0	182	490	1009	2267	3.71E-01	4.80E-13	2.44E+02	61	1.33E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0522.2	TCF3	3.40E-04	6.50E-07	-1.43E+01	0	201	491	1555	3386	0.40937	2.70E-09	2.45E+02	9.30E+01	194	1.00E+00	0.00E+00		1.00E+00	0
2	MA0526.1	USF2	3.70E-05	7.00E-08	-1.65E+01	0	262	490	1102	1815	5.35E-01	2.90E-10	2.44E+02	58	1.01E+02	1.00E+00	0.00E+00		1.00E+00	0
